,"0","1","2"
0,543,189,0
1,556,545,1
2,555,554,2
3,7,6,3
4,7,6,3
5,5,903,6
6,7,6,3
7,7,6,3
8,8,194,9
9,8,194,9
10,10,12,11
11,10,12,11
12,10,12,11
13,13,771,784
14,14,17,19
15,28,30,27
16,28,30,27
17,14,17,19
18,560,557,18
19,14,17,19
20,20,768,26
21,21,25,22
22,21,25,22
23,23,398,24
24,23,398,24
25,21,25,22
26,20,768,26
27,28,30,27
28,28,30,27
29,29,789,31
30,28,30,27
31,29,789,31
32,404,401,384
33,392,389,400
34,21,25,22
35,392,389,400
36,404,401,384
37,404,401,384
38,23,398,24
39,404,401,384
40,29,789,31
41,29,789,31
42,392,389,400
43,21,25,22
44,392,389,400
45,771,426,784
46,407,772,783
47,47,603,58
48,417,418,416
49,414,51,415
50,414,51,415
51,414,51,415
52,414,51,415
53,417,418,416
54,54,410,411
55,410,412,411
56,409,56,413
57,414,51,415
58,47,603,58
59,59,784,788
60,788,60,785
61,61,966,60
62,786,63,787
63,786,63,787
64,771,426,784
65,29,789,31
66,428,971,790
67,934,747,927
68,611,249,430
69,69,250,431
70,70,251,975
71,71,252,434
72,72,253,73
73,73,253,254
74,74,255,616
75,75,256,76
76,76,257,437
77,77,258,618
78,78,79,799
79,79,259,78
80,80,260,261
81,81,262,443
82,82,263,444
83,83,445,264
84,84,264,446
85,85,447,902
86,846,849,847
87,87,653,290
88,823,818,278
89,89,816,996
90,90,636,91
91,91,635,90
92,92,634,91
93,93,274,454
94,94,453,451
95,95,633,634
96,450,96,283
97,640,97,641
98,831,101,287
99,107,102,643
100,831,101,287
101,831,101,287
102,107,102,643
103,831,101,287
104,831,101,287
105,831,101,287
106,831,101,287
107,107,102,643
108,644,821,276
109,109,834,652
110,110,998,147
111,293,294,292
112,293,294,292
113,293,294,292
114,657,690,656
115,657,690,656
116,300,297,299
117,300,297,299
118,118,811,145
119,660,119,659
120,120,810,268
121,121,268,298
122,693,122,301
123,521,513,520
124,514,666,522
125,664,523,663
126,314,675,313
127,683,681,128
128,683,681,128
129,139,140,136
130,138,131,130
131,138,131,130
132,137,133,132
133,137,133,132
134,677,134,526
135,316,311,135
136,139,140,136
137,137,133,132
138,138,131,130
139,139,140,136
140,139,140,136
141,684,141,652
142,142,507,147
143,143,146,325
144,145,144,811
145,145,144,811
146,326,325,146
147,142,507,147
148,655,473,148
149,654,868,149
150,480,332,150
151,661,662,151
152,159,158,152
153,896,897,153
154,154,156,155
155,154,156,155
156,154,156,155
157,516,337,157
158,159,158,152
159,159,158,152
160,664,523,663
161,664,523,663
162,664,523,663
163,514,666,522
164,514,666,522
165,514,666,522
166,159,158,152
167,159,158,152
168,159,158,152
169,159,158,152
170,159,158,152
171,159,158,152
172,159,158,152
173,159,158,152
174,174,628,901
175,175,177,176
176,177,178,176
177,177,178,176
178,177,178,176
179,7,6,3
180,7,6,3
181,7,6,3
182,550,549,547
183,550,549,547
184,555,554,2
185,556,545,1
186,543,189,0
187,543,189,0
188,543,189,0
189,543,189,0
190,542,190,541
191,542,190,541
192,8,194,9
193,8,194,9
194,8,194,9
195,14,17,19
196,28,30,27
197,28,30,27
198,14,17,19
199,199,564,906
200,560,557,18
201,28,30,27
202,404,401,384
203,21,25,22
204,396,397,395
205,396,397,395
206,396,397,395
207,21,25,22
208,392,389,400
209,21,25,22
210,23,398,24
211,20,768,26
212,404,401,384
213,392,389,400
214,23,398,24
215,23,398,24
216,23,398,24
217,21,25,22
218,392,389,400
219,23,398,24
220,404,401,384
221,29,789,31
222,29,789,31
223,392,389,400
224,21,25,22
225,392,389,400
226,771,426,784
227,954,227,773
228,414,51,415
229,409,56,413
230,409,56,413
231,409,56,413
232,409,56,413
233,414,51,415
